|,Identifier,|,Service,|,Type,|
|,:---,|,:---,|,:---,|
|,EventSourcingEventbridgeS-aws generated name,|,Lambda,|,Function,|
|,EventSourcingEventbridgeS-aws generated name,|,IAM,|,Role,|
|,event_sourcing_eventbridge,|,DynamoDB,|,Table,|
|,event_sourcing_eventbridge_api_role,|,IAM,|,Role,|
|,/demo/event_sourcing_eventbridge,|,Logs,|,LogGroup,|
|,event_sourcing_eventbridge|event_sourcing_eventbridge_logger,|,Events,|,Rule,|
|,event_sourcing_eventbridge_put_item,|,Lambda,|,Function,|
|,event_sourcing_eventbridge_update_item,|,Lambda,|,Function,|
|,event_sourcing_eventbridge_lambda_put,|,IAM,|,Role,|
|,event_sourcing_eventbridge_lambda_update,|,IAM,|,Role,|
|,event_sourcing_eventbridge|event_sourcing_eventbridge_new_order,|,Events,|,Rule,|
|,event_sourcing_eventbridge|event_sourcing_eventbridge_update_order,|,Events,|,Rule,|
